image_file,DOCUMENT_TYPE,INVOICE_DATE,SUPPLIER_NAME,BUSINESS_ABN,BUSINESS_ADDRESS,PAYER_NAME,PAYER_ADDRESS,GST_AMOUNT,IS_GST_INCLUDED,TOTAL_AMOUNT,LINE_ITEM_DESCRIPTIONS,LINE_ITEM_TOTAL_PRICES
image_001.png,TAX INVOICE,04/08/2025,Rydges Hotels,04 904 754 234,"396 Flinders Street, Adelaide SA 5000",Sophie Martin,"501 Charlotte Street, Canberra ACT 2600",NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$11.40 | $25.50 | $12.60 | $3.79
image_002.png,TAX INVOICE,01/08/2025,Hilton Hotels,31 724 023 407,"561 Flinders Street, Perth WA 6000",Emily Thompson,"46 King Street, Adelaide SA 5000",NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$9.60 | $3.20 | $10.26 | $14.40 | $38.70 | $12.40
image_003.png,TAX INVOICE,16/07/2025,EY Australia,73 553 957 027,"910 Pitt Street, Adelaide SA 5000",Ava Rodriguez,"430 Pitt Street, Brisbane QLD 4000",NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$4.90 | $5.00
image_004.png,RECEIPT,NOT_FOUND,Liberty Oil,06 082 698 025,"481 Bourke Street, Perth WA 6000",Robert Taylor,"243 Adelaide Street, Perth WA 6000",$8.62,NOT_FOUND,$94.87,Car Wash | Coffee Large | Unleaded Petrol | Car Wash | Diesel,NOT_FOUND
image_005.png,RECEIPT,NOT_FOUND,Ampol Limited,29 466 483 258,"680 Collins Street, Darwin NT 0800",Sophie Martin,"467 Collins Street, Hobart TAS 7000",$5.20,NOT_FOUND,$57.15,Energy Drink | Premium Unleaded | Coffee Large | Premium Unleaded | Car Wash | Premium Unleaded,NOT_FOUND
image_007.png,RECEIPT,NOT_FOUND,Liberty Oil,66 658 925 499,"993 Pitt Street, Darwin NT 0800",William Harris,"52 Bourke Street, Darwin NT 0800",$1.01,NOT_FOUND,$11.11,Premium Unleaded | Diesel | Unleaded Petrol,NOT_FOUND
image_010.png,TAX INVOICE,19/07/2025,BDO Australia,40 613 105 682,"219 Pitt Street, Canberra ACT 2600",Sarah Johnson,"178 William Street, Brisbane QLD 4000",NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$6.40 | $2.50 | $6.80 | $17.80
image_011.png,TAX INVOICE,25/07/2025,EY Australia,61 555 924 470,"360 Flinders Street, Perth WA 6000",Olivia White,"815 King Street, Melbourne VIC 3000",NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$8.40 | $2.50 | $8.50
image_012.png,RECEIPT,NOT_FOUND,The Good Guys,99 122 988 747,"509 Bourke Street, Perth WA 6000",James Anderson,"333 Adelaide Street, Brisbane QLD 4000",NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_014.png,RECEIPT,NOT_FOUND,JB Hi-Fi,61 667 612 968,"10 Collins Street, Melbourne VIC 3000",Ava Rodriguez,"478 Charlotte Street, Brisbane QLD 4000",$5.38,NOT_FOUND,$59.15,Ground Beef 500g | Potatoes 1kg | Tea Bags (box) | Onions 1kg | Apples 1kg,NOT_FOUND
image_015.png,RECEIPT,NOT_FOUND,Bunnings Group Limited,97 492 312 203,"174 Collins Street, Canberra ACT 2600",Daniel Garcia,"742 Queen Street, Hobart TAS 7000",NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_016.png,RECEIPT,NOT_FOUND,Mobil Australia,47 083 667 253,"443 George Street, Darwin NT 0800",Sophie Martin,"186 Flinders Street, Brisbane QLD 4000",NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_018.png,RECEIPT,NOT_FOUND,Mobil Australia,70 341 963 178,"310 George Street, Brisbane QLD 4000",Jessica Davis,"630 Elizabeth Street, Hobart TAS 7000",$6.19,NOT_FOUND,$68.09,Diesel | Coffee Large | Car Wash,NOT_FOUND
image_019.png,RECEIPT,NOT_FOUND,Shell Australia,35 235 502 822,"728 George Street, Canberra ACT 2600",Emma Wilson,"243 Collins Street, Hobart TAS 7000",NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
image_020.png,TAX INVOICE,20/07/2025,PwC Australia,66 495 342 637,"905 Bourke Street, Brisbane QLD 4000",John Smith,"880 Queen Street, Perth WA 6000",NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,$7.60 | $3.20 | $11.40 | $14.40
