image_file,image_name,document_type,processing_time,field_count,found_fields,field_coverage,prompt_used,timestamp,overall_accuracy,fields_extracted,fields_matched,total_fields,inference_only,model_version,gpu_type,precision,BUSINESS_ABN,BUSINESS_ADDRESS,BUSINESS_KILOMETERS,BUSINESS_USE_PERCENTAGE,DOCUMENT_TYPE,ENGINE_CAPACITY,GST_AMOUNT,INVOICE_DATE,IS_GST_INCLUDED,JOURNEY_DATES,JOURNEY_DISTANCES,JOURNEY_PURPOSES,LINE_ITEM_DESCRIPTIONS,LINE_ITEM_PRICES,LINE_ITEM_QUANTITIES,LINE_ITEM_TOTAL_PRICES,LOGBOOK_PERIOD_END,LOGBOOK_PERIOD_START,ODOMETER_END,ODOMETER_START,PASSENGER_NAME,PAYER_ADDRESS,PAYER_NAME,STATEMENT_DATE_RANGE,SUPPLIER_NAME,TOTAL_AMOUNT,TOTAL_KILOMETERS,TRANSACTION_AMOUNTS_PAID,TRANSACTION_DATES,TRAVEL_DATES,TRAVEL_MODE,TRAVEL_ROUTE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_REGISTRATION
logbook_001_professional.png,logbook_001_professional.png,vehicle_logbook,31.550780534744263,15,15,42.857142857142854,internvl3_5_8b_vehicle_logbook,2026-02-05T01:13:42.855330,100.0,15,15,15,False,InternVL3.5-8B,H200,bfloat16,NOT_FOUND,NOT_FOUND,2328,78%,VEHICLE_LOGBOOK,2.5L,NOT_FOUND,NOT_FOUND,NOT_FOUND,02 Jan 2025 | 05 Jan 2025 | 08 Jan 2025 | 10 Jan 2025 | 11 Jan 2025 | 11 Jan 2025 | 14 Jan 2025 | 14 Jan 2025 | 18 Jan 2025 | 20 Jan 2025,8 | 94 | 82 | 73 | 40 | 32 | 94 | 53 | 111 | 51,Project site | Warehouse pickup | Delivery | School pickup | Project site | Supplier visit | Private use | Site inspection | Accountant meeting | Equipment maintenance,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25 Mar 2025,01 Jan 2025,20800,17811,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2989,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Toyota,Camry,FD17PQ
logbook_002_spreadsheet.png,logbook_002_spreadsheet.png,vehicle_logbook,30.646621465682983,15,15,42.857142857142854,internvl3_5_8b_vehicle_logbook,2026-02-05T01:13:42.855365,100.0,15,15,15,False,InternVL3.5-8B,H200,bfloat16,NOT_FOUND,NOT_FOUND,2197,88%,VEHICLE_LOGBOOK,2.4L,NOT_FOUND,NOT_FOUND,NOT_FOUND,01 Apr 2025 | 02 Apr 2025 | 03 Apr 2025 | 06 Apr 2025 | 07 Apr 2025 | 10 Apr 2025 | 11 Apr 2025 | 12 Apr 2025 | 20 Apr 2025 | 21 Apr 2025,48 | 60 | 115 | 87 | 29 | 14 | 17 | 28 | 16 | 57,Customer service call | Warehouse pickup | Training session | Warehouse pickup | Private use | Equipment maintenance | Medical appointment | Sales call | Personal | Private use,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,23 Jun 2025,01 Apr 2025,136483,133987,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2496,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Mitsubishi,Triton,GMN785
logbook_003_handwritten.png,logbook_003_handwritten.png,vehicle_logbook,30.161958694458008,15,15,42.857142857142854,internvl3_5_8b_vehicle_logbook,2026-02-05T01:13:42.855387,100.0,15,15,15,False,InternVL3.5-8B,H200,bfloat16,NOT_FOUND,NOT_FOUND,2351,68%,VEHICLE_LOGBOOK,2.4L,NOT_FOUND,NOT_FOUND,NOT_FOUND,02 Mar 2025 | 04 Mar 2025 | 08 Mar 2025 | 14 Mar 2025 | 14 Mar 2025 | 16 Mar 2025 | 17 Mar 2025 | 17 Mar 2025 | 22 Mar 2025 | 22 Mar 2025,105 | 39 | 30 | 116 | 44 | 56 | 103 | 56 | 98 | 29,Delivery | Private use | Private use | Sales call | Shopping | Bank appointment | Site inspection | Conference | Delivery | Project site,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,23 May 2025,01 Mar 2025,121520,118080,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3440,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Mitsubishi,Triton,ZTY217
logbook_004_ato_form.png,logbook_004_ato_form.png,vehicle_logbook,31.41482186317444,15,15,42.857142857142854,internvl3_5_8b_vehicle_logbook,2026-02-05T01:13:42.855406,99.64912280701755,15,14,15,False,InternVL3.5-8B,H200,bfloat16,NOT_FOUND,NOT_FOUND,2739,77%,VEHICLE_LOGBOOK,2.0L,NOT_FOUND,NOT_FOUND,NOT_FOUND,03/04/25 | 03/04/25 | 06/04/25 | 06/04/25 | 11/04/25 | 11/04/25 | 11/04/25 | 12/04/25 | 12/04/25 | 19/04/25,54 | 56 | 21 | 32 | 28 | 117 | 58 | 80 | 87 | 33,Client meeting | Office supplies run | Training session | Delivery | Training session | Office supplies run | Equipment maintenance | Sales call | Site inspection | Delivery,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,23 Jun 2025,01 Apr 2025,141563,137986,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3577,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kia,Cerato,HK88NT
logbook_005_notebook.png,logbook_005_notebook.png,vehicle_logbook,30.109689235687256,15,15,42.857142857142854,internvl3_5_8b_vehicle_logbook,2026-02-05T01:13:42.855423,93.33333333333333,15,14,15,False,InternVL3.5-8B,H200,bfloat16,NOT_FOUND,NOT_FOUND,2778,84%,MOTOR_VEHICLE_LOGBOOK,1.8L,NOT_FOUND,NOT_FOUND,NOT_FOUND,01 Feb 2025 | 01 Feb 2025 | 02 Feb 2025 | 05 Feb 2025 | 07 Feb 2025 | 09 Feb 2025 | 10 Feb 2025 | 11 Feb 2025 | 13 Feb 2025 | 13 Feb 2025,11 | 76 | 43 | 53 | 106 | 14 | 83 | 59 | 31 | 15,Warehouse pickup | Personal | Project site | Conference | Project site | Conference | Client meeting | Project site | Office supplies run | Warehouse pickup,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25 Apr 2025,01 Feb 2025,118331,115043,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3288,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Toyota,Corolla,MLE094
logbook_006_commercial.png,logbook_006_commercial.png,vehicle_logbook,30.604668140411377,15,15,42.857142857142854,internvl3_5_8b_vehicle_logbook,2026-02-05T01:13:42.855439,94.54545454545455,15,14,15,False,InternVL3.5-8B,H200,bfloat16,NOT_FOUND,NOT_FOUND,2966,79%,VEHICLE_LOGBOOK,2.0L,NOT_FOUND,NOT_FOUND,NOT_FOUND,01 Jul 2025 | 01 Jul 2025 | 02 Jul 2025 | 03 Jul 2025 | 06 Jul 2025 | 07 Jul 2025 | 07 Jul 2025 | 12 Jul 2025 | 14 Jul 2025 | 15 Jul 2025,47 | 6 | 38 | 88 | 88 | 68 | 61 | 85 | 114 | 61,Business | Business | Business | Business | Business | Personal | Business | Business | Business | Personal,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,22 Sep 2025,01 Jul 2025,114979,111208,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3771,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Mazda,3,PFU077
logbook_007_minimal.png,logbook_007_minimal.png,vehicle_logbook,29.945586919784546,15,15,42.857142857142854,internvl3_5_8b_vehicle_logbook,2026-02-05T01:13:42.855454,80.0,15,12,15,False,InternVL3.5-8B,H200,bfloat16,NOT_FOUND,NOT_FOUND,2340,75%,VEHICLE_LOGBOOK,1.8L,NOT_FOUND,NOT_FOUND,NOT_FOUND,05 Jan 2025 | 10 Jan 2025 | 14 Jan 2025 | 14 Jan 2025 | 14 Jan 2025 | 16 Jan 2025 | 18 Jan 2025 | 22 Jan 2025 | 22 Jan 2025 | 22 Jan 2025,34 | 89 | 74 | 50 | 46 | 99 | 13 | 83 | 115 | 113,Equipment maintenance | Personal | Private use | Client meeting | Medical appointment | Supplier visit | Customer service call | Bank appointment | Staff training | Training session,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25 Mar 2025,01 Jan 2025,26397,23258,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3139,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Toyota,Corolla,GZY802
logbook_008_accounting.png,logbook_008_accounting.png,vehicle_logbook,30.28197193145752,15,15,42.857142857142854,internvl3_5_8b_vehicle_logbook,2026-02-05T01:13:42.855469,99.64912280701755,15,14,15,False,InternVL3.5-8B,H200,bfloat16,NOT_FOUND,NOT_FOUND,3082,77%,VEHICLE_LOGBOOK,2.5L,NOT_FOUND,NOT_FOUND,NOT_FOUND,01 Feb 2025 | 04 Feb 2025 | 06 Feb 2025 | 06 Feb 2025 | 06 Feb 2025 | 08 Feb 2025 | 10 Feb 2025 | 11 Feb 2025 | 13 Feb 2025 | 13 Feb 2025,41 | 70 | 61 | 72 | 55 | 32 | 100 | 73 | 111 | 55,Site inspection | Office supply run | Project site | Training session | Bank appointment | Accountant meeting | Training session | Sales call | Conference | Personal,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25 Apr 2025,01 Feb 2025,85328,81330,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3998,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Mazda,CX-5,UPC016
logbook_009_scanned.png,logbook_009_scanned.png,vehicle_logbook,30.303378582000732,15,15,42.857142857142854,internvl3_5_8b_vehicle_logbook,2026-02-05T01:13:42.855483,100.0,15,15,15,False,InternVL3.5-8B,H200,bfloat16,NOT_FOUND,NOT_FOUND,2270,72%,VEHICLE_LOGBOOK,2.0L,NOT_FOUND,NOT_FOUND,NOT_FOUND,02/08/25 | 05/08/25 | 06/08/25 | 07/08/25 | 08/08/25 | 08/08/25 | 10/08/25 | 12/08/25 | 15/08/25 | 15/08/25,116 | 109 | 64 | 69 | 52 | 25 | 23 | 113 | 109 | 35,Private use | Supplier visit | School pickup | Sales call | Equipment maintenance | Office supplies run | Conference | Medical appointment | Private use | Delivery,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,23 Oct 2025,01 Aug 2025,64031,60860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3171,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Mazda,3,QUU229
logbook_010_mobile_app.png,logbook_010_mobile_app.png,vehicle_logbook,29.694284677505493,15,14,40.0,internvl3_5_8b_vehicle_logbook,2026-02-05T01:13:42.855498,85.96491228070175,14,11,15,False,InternVL3.5-8B,H200,bfloat16,NOT_FOUND,NOT_FOUND,2780,75%,MOTOR_VEHICLE_LOGBOOK,3.2L,NOT_FOUND,NOT_FOUND,NOT_FOUND,02 Aug 2025 | 04 Aug 2025 | 07 Aug 2025 | 07 Aug 2025 | 07 Aug 2025 | 09 Aug 2025 | 14 Aug 2025 | 17 Aug 2025 | 17 Aug 2025 | 17 Aug 2025,62 | 21 | 14 | 28 | 69 | 95 | 43 | 119 | 30 | 119,Personal | Delivery | Project site | Medical appointment | School pickup | Staff training | Supplier visit | Medical appointment | Shopping | Shopping,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,23 Oct 2025,01 Aug 2025,151492,147807,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3685,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Ford,Ranger,NOT_FOUND
